cod,uf,ano,10_mais ricos_por_40_mais_pobres,20_mais_ricos_por_40_mais_pobres,renda_per_capita_quinto_mais_pobre,renda_per_capita_quinto_mais_rico,Renda per capita dos extremamente pobres,Renda per capita dos pobres,Renda per capita dos vulneráveis à pobreza,% de extremamente pobres,% de pobres 2016,% de vulneráveis à pobreza 2016,gini,theil-L,atkinson,populacao,area,dens_demo,quantidade_estupro,quantidade_roubo_furto_veiculos,quantidade_roubos,tx_estupro,tx_roubo_furto_veiculos,tx_roubos,taxa_homicidio,tx_trafico_entorpecente,tx_posse_entorpecente,idhm_educacao,idhm_renda,idhm
11,RO,2016,10.74,7.71,123.61,1472.02,24.74,75.98,155.3,4.03,10.18,29.82,0.465,0.377,0.316,1787279,237765.233,7.51699051,382,5475,28326,21.37,604.65,1584.87,39.33,57.00,61.40,0.691,0.686,0.715
53,DF,2016,20.76,14.85,192.19,4544.73,20.77,82.71,162.97,1.48,4.41,15.16,0.578,0.615,0.4,2977216,5760.783,516.8075243,668,12701,53916,22.44,747.26,1810.95,25.53,77.30,202.80,0.822,0.836,0.847
52,GO,2016,10.74,7.64,163.12,1888.78,21.74,66.94,157.31,2.88,5.77,18.9,0.467,0.374,0.302,6695855,340125.715,19.68641213,161,29345,115305,2.40,802.27,1722.04,45.34,72.30,73.70,0.754,0.724,0.764
50,MS,2016,10.79,7.72,184.78,2123.92,23.99,87.34,172.15,1.1,4.45,17.35,0.47,0.382,0.289,2682386,357145.535,7.510624485,538,4796,11427,20.06,328.61,426.00,25.02,118.10,99.20,0.698,0.741,0.758
43,RS,2016,11.07,7.9,212.91,2575.96,28.04,76.28,160.17,1.7,3.93,11.92,0.473,0.391,0.297,11286500,281707.151,40.06465565,244,37194,106203,2.16,559.29,940.97,28.57,78.40,93.50,0.722,0.772,0.789
42,SC,2016,8.27,6.14,244.31,2222.69,19.96,65.56,163.45,1.45,2.86,9.61,0.421,0.306,0.255,6910553,95730.921,72.18726121,195,17745,19011,2.82,371.84,275.10,14.24,102.40,65.70,0.785,0.763,0.814
35,SP,2016,14.54,10.05,202.57,3119.31,16.67,63.83,156.59,2.12,4.2,13.11,0.524,0.475,0.334,44749699,248219.481,180.2827837,2316,188880,323274,5.18,691.06,722.40,10.88,101.80,73.50,0.837,0.787,0.835
33,RJ,2016,14.73,10.25,162.07,2624.58,17.75,68.22,153.38,2.96,6.33,18.71,0.525,0.476,0.354,16635996,43750.423,380.2476607,1392,58455,208781,8.37,916.58,1255.00,36.38,79.70,59.90,0.757,0.761,0.789
32,ES,2016,13.6,9.5,137.12,2067.83,24.89,70.06,153.85,3.86,8.21,23.9,0.51,0.451,0.346,3973697,46074.444,86.24514275,25,6502,24247,0.63,358.83,610.19,31.96,128.70,68.20,0.732,0.727,0.779
31,MG,2016,12.28,8.54,146.93,1973.12,30.65,76.12,154.76,3.19,7.69,21.7,0.491,0.425,0.326,20997560,586521.121,35.80017709,568,42909,131227,2.71,417.48,624.96,22.01,122.10,87.10,0.739,0.725,0.776
29,BA,2016,16.33,11.04,75.83,1415.49,39.4,78.55,137.94,8.96,20.91,43.76,0.539,0.532,0.383,15276566,564722.611,27.05145093,501,20835,90568,3.28,548.13,592.86,46.94,38.30,27.70,0.656,0.662,0.705
28,SE,2016,19.62,13.07,76.9,1716.07,35.71,77.34,136.5,8.55,20.15,41.9,0.567,0.581,0.435,2265779,21926.908,103.3332652,95,3696,23088,4.19,520.80,1018.99,64.66,16.80,8.00,0.625,0.683,0.697
27,AL,2016,14.89,10.34,64.91,1193.46,36.53,74.38,135.45,10.84,23.44,48.79,0.523,0.5,0.393,3358963,27843.295,120.6381285,155,4710,17785,4.61,624.81,529.48,54.18,51.10,11.50,0.635,0.637,0.68
26,PE,2016,19.02,12.48,75.05,1638.71,34.95,75.31,136.58,8.53,20.11,41.91,0.567,0.579,0.406,9410336,98068.021,95.9572336,446,22146,114802,4.74,786.40,1219.96,47.26,41.10,49.30,0.69,0.677,0.724
25,PB,2016,15.04,10.15,89.75,1404.45,47.04,85.29,145.21,6.51,18.56,42.93,0.527,0.498,0.369,3999415,56467.239,70.82717467,92,4944,2008,2.30,417.48,50.21,33.88,14.60,18.20,0.657,0.663,0.704
24,RN,2016,16.48,11.07,91.52,1702.47,39.28,78.95,145.65,7.1,16.44,37.27,0.543,0.539,0.379,3474998,52809.602,65.8023895,78,7346,24665,2.24,620.77,709.78,53.35,9.10,6.50,0.676,0.687,0.732
23,CE,2016,16.77,10.83,70.42,1338.83,40.49,76.06,136.65,9.98,21.93,45.11,0.543,0.539,0.389,8963663,148894.757,60.20133402,458,15011,72661,5.11,515.99,810.62,40.63,44.70,26.60,0.708,0.656,0.722
22,PI,2016,15.46,10.62,75.43,1328.3,46.92,82.12,136.79,9.28,22.82,44.63,0.528,0.508,0.376,3212180,251616.823,12.76615753,226,5711,29126,7.04,526.36,906.74,21.82,28.10,15.40,0.642,0.655,0.685
21,MA,2016,14.55,10.2,56.39,1021.63,41,75.54,130.45,12.9,28.75,53.4,0.517,0.489,0.375,6954036,329642.17,21.09571115,224,8060,50104,3.22,522.75,720.50,34.63,26.60,16.70,0.673,0.615,0.68
17,TO,2016,12.13,8.69,107.4,1472.35,33.91,81.88,149.69,4.49,13.01,33.7,0.489,0.423,0.33,1532902,277720.404,5.519587246,66,2395,6223,4.31,375.84,405.96,37.64,43.90,17.60,0.723,0.679,0.734
15,PA,2016,13.68,9.55,82.25,1229.98,41.79,86.34,143.35,6.96,21.9,46.46,0.51,0.465,0.363,8272724,1245759.305,6.640708174,481,10755,135320,5.81,588.63,1635.74,50.85,49.40,26.00,0.641,0.646,0.687
14,RR,2016,15.74,10.98,115.55,1988.43,27.49,83.38,151.66,4.1,11.85,31.12,0.537,0.511,0.376,514229,224273.831,2.292862247,,1203,,,598.27,,39.67,,,0.771,0.714,0.752
13,AM,2016,17.83,11.92,74.39,1403.06,44.93,85.69,139.84,8.63,25.19,49.94,0.558,0.552,0.416,4001667,1559168.117,2.566539783,783,6285,42687,19.57,767.04,1066.73,36.28,62.90,18.10,0.705,0.654,0.711
12,AC,2016,18.95,12.84,69.11,1466.81,42.55,81.66,131.96,9.37,25.42,47.12,0.564,0.573,0.404,816687,164123.738,4.976044355,111,,2632,13.59,,322.28,44.45,79.00,,0.704,0.66,0.723
16,AP,2016,17.66,12.65,80.49,1686.6,33.98,81.41,139.52,7.49,20.42,42.36,0.554,0.549,0.419,782295,142470.762,5.490916094,306,1012,12529,39.12,563.27,1601.57,48.7,46.80,27.50,0.709,0.682,0.733
41,PR,2016,11.25,7.96,194.58,2348.95,20.84,82.42,162.59,1.64,4.81,14.53,0.476,0.392,0.295,11242720,199305.236,56.40955665,570,32821,87850,5.07,459.65,781.39,27.4,76.30,109.50,0.773,0.756,0.797
51,MT,2016,9.9,7.16,172.63,1851.12,18.49,75.76,164.54,2.22,5.28,18.74,0.453,0.352,0.288,3305531,903206.997,3.65977125,353,6572,28034,10.68,349.24,848.09,35.7,92.10,120.30,0.766,0.725,0.769
52,GO,2017,11.31,7.93,172.32,2065.19,27.4,71.79,159.65,2.7,5.49,17.62,0.477,0.396,0.312,6778772,340125.715,19.93019552,117,27917,87735,1.73,739.89,1294.26,42.8,74.90,67.50,0.743,0.735,0.765
25,PB,2017,16.83,11.21,88.27,1650.15,45.53,79.88,145.49,7.5,17.49,39.32,0.548,0.544,0.385,4025558,56467.239,71.29015109,31,5267,12420,0.77,425.51,308.53,33.31,19.50,17.90,0.671,0.682,0.717
24,RN,2017,15.08,10.51,79.49,1477.88,35.86,75.47,136.09,8.38,18.87,38.57,0.523,0.503,0.394,3507003,52809.602,66.40843459,72,8321,23267,2.05,672.09,663.44,62.82,3.90,5.10,0.677,0.672,0.728
23,CE,2017,17.08,11.38,73.53,1469.46,40.84,75.8,138.01,9.47,20.72,43.05,0.547,0.548,0.396,9020460,148894.757,60.58279137,504,16130,76047,5.59,533.19,843.05,60.23,65.20,33.50,0.715,0.666,0.73
53,DF,2017,22.55,16.12,187.41,4825.04,25.81,62.65,156.17,2.6,4.98,15.07,0.593,0.662,0.424,3039444,5760.783,527.6095281,889,10577,50274,29.25,603.81,1654.05,20.07,85.00,188.80,0.797,0.842,0.842
51,MT,2017,10.52,7.51,169.63,1977.32,17.9,81.7,157.03,1.99,6.07,17.75,0.463,0.37,0.297,3344544,903206.997,3.702965113,320,5402,21473,9.57,274.83,642.03,32.95,116.70,118.00,0.757,0.733,0.77
50,MS,2017,10.51,7.73,177.76,2058.92,28.85,79.7,164.9,1.79,5.4,17.41,0.464,0.371,0.308,2713147,357145.535,7.59675464,651,4547,10892,23.99,299.46,401.45,24.29,134.90,96.70,0.708,0.738,0.762
43,RS,2017,11.46,8.12,211.32,2668.24,25.04,64.51,156.36,2.03,3.89,12.28,0.481,0.41,0.301,11322895,281707.151,40.1938501,689,34800,105830,6.09,507.95,934.65,29.29,83.40,94.60,0.727,0.776,0.793
42,SC,2017,7.96,5.96,260.08,2336.55,14.6,62.59,157.54,1.38,2.65,8.32,0.414,0.294,0.254,7001161,95730.921,73.13374745,221,15002,16683,3.16,303.25,238.29,15.23,122.70,73.40,0.778,0.772,0.817
41,PR,2017,11.51,8.1,195.28,2415.45,23.97,72.62,157.51,2.07,4.78,13.99,0.481,0.4,0.312,11320892,199305.236,56.80177916,711,30722,77061,6.28,418.98,680.70,24.37,93.00,133.00,0.764,0.759,0.797
35,SP,2017,14.79,10.09,188.06,2976.5,20.07,68.84,158.5,2.31,4.98,15.23,0.526,0.482,0.343,45094866,248219.481,181.6733554,2546,172793,302664,5.65,614.08,671.17,10.27,109.40,59.80,0.826,0.781,0.831
33,RJ,2017,14.21,9.96,158.77,2540.03,17.25,64.82,149.97,3.36,6.62,18.37,0.519,0.464,0.359,16718956,43750.423,382.1438709,1438,70074,230437,8.60,1071.60,1378.30,38.38,72.80,45.30,0.762,0.757,0.791
32,ES,2017,13.34,9.26,136.51,2057.35,26.48,68.35,149.53,4.15,8.68,22.72,0.506,0.446,0.352,4016356,46074.444,87.17101394,29,10788,28572,0.72,577.25,711.39,37.87,98.70,47.40,0.731,0.727,0.78
31,MG,2017,12.51,8.7,151.49,2062.51,26.48,74.91,155.24,3.09,7.18,20.78,0.493,0.428,0.327,21119536,586521.121,36.00814232,617,38486,112838,2.92,359.28,534.28,20.36,150.40,99.90,0.752,0.731,0.784
29,BA,2017,22.1,13.88,62.52,1628.44,38.31,72.25,131.54,11.91,23.29,45.32,0.59,0.642,0.422,15344447,564722.611,27.17165331,601,19016,88565,3.92,479.62,577.18,48.79,47.10,34.00,0.655,0.675,0.71
28,SE,2017,17.83,12.24,66.99,1520.27,36.67,72,131.17,10.62,21.61,42.46,0.551,0.555,0.42,2288116,21926.908,104.3519679,161,3701,24847,7.04,499.35,1085.92,57.38,34.60,10.40,0.639,0.67,0.699
27,AL,2017,15.16,10.46,58.21,1139.87,36.56,73.12,130.93,12.4,25.63,49.51,0.525,0.507,0.395,3375823,27843.295,121.2436603,185,4328,17012,5.48,546.60,503.94,53.71,58.10,11.50,0.634,0.631,0.679
22,PI,2017,15.82,10.95,65.88,1301.61,44.84,75.1,131.21,11.45,23.49,44.77,0.529,0.522,0.395,3219257,251616.823,12.79428363,277,5677,28018,8.60,497.64,870.33,19.45,30.10,15.30,0.665,0.653,0.694
21,MA,2017,15.44,10.81,50.43,1041.48,38.29,71.76,127.2,14.57,29.24,53.59,0.526,0.507,0.383,7000229,329642.17,21.23584188,272,7607,48269,3.89,469.89,689.53,31.14,31.60,16.10,0.684,0.616,0.685
17,TO,2017,12.45,8.72,115.31,1565.2,32.72,82.22,154.18,4.48,11.66,32.37,0.495,0.431,0.327,1550194,277720.404,5.581851307,84,2361,6443,5.42,356.82,415.63,35.93,43.70,18.30,0.729,0.687,0.74
16,AP,2017,20.83,13.93,81.62,1801.99,37.18,86.29,146.49,7.88,21.61,47.28,0.589,0.623,0.421,797722,142470.762,5.59919796,306,988,13071,38.36,530.26,1638.54,48.01,34.50,23.30,0.7,0.683,0.732
15,PA,2017,13.46,9.38,80.56,1228.87,41.19,81.8,142.64,7.93,20.54,44.82,0.506,0.457,0.354,8366628,1245759.305,6.716087102,573,13672,130574,6.85,712.80,1560.65,54.68,49.00,24.90,0.657,0.647,0.694
14,RR,2017,14.54,10.34,109.17,1759.75,29.75,70.86,152.48,5.17,11.41,34.17,0.526,0.479,0.38,522636,224273.831,2.330347672,185,1148,3124,35.40,545.28,597.74,47.45,73.70,38.50,0.764,0.697,0.746
13,AM,2017,21.53,14.19,68.08,1662.43,36.9,77.77,135.82,9.47,23.72,47.54,0.591,0.63,0.438,4063614,1559168.117,2.606270585,865,8139,46755,21.29,961.00,1150.58,41.19,83.00,25.50,0.732,0.672,0.728
